,referenceTime,mean(air_temperature P1D),mean(cloud_area_fraction P1D),sum(duration_of_sunshine P1D)
0,2013-04-01,1.35,1.0,12.7
1,2013-04-05,4.3,4.3,9.6
2,2013-04-09,1.15,2.3,12.8
3,2013-04-13,3.25,6.7,2.2
4,2013-04-17,6.6,5.3,8.1
5,2013-04-21,4.85,5.0,9.5
6,2013-04-25,7.5,6.3,9.4
7,2013-04-29,5.4,7.3,2.7
8,2013-05-03,5.800000000000001,7.7,0.1
9,2013-05-07,12.4,3.7,12.1
10,2013-05-11,9.45,7.3,3.1
11,2013-05-15,8.25,8.0,0.0
12,2013-05-19,20.8,4.3,9.2
13,2013-05-23,11.6,7.0,2.0
14,2013-05-27,16.6,6.0,4.0
15,2013-05-31,18.9,6.7,7.1
16,2013-06-04,12.8,4.3,9.7
17,2013-06-08,15.5,3.3,10.5
18,2013-06-12,14.15,8.0,0.0
19,2013-06-16,13.75,4.3,11.0
20,2013-06-20,16.950000000000003,4.0,12.7
21,2013-06-24,14.95,6.3,3.3
22,2013-06-28,14.8,6.0,6.6
23,2013-07-02,14.95,6.7,2.0
24,2013-07-06,17.75,2.3,15.7
25,2013-07-10,17.75,4.7,13.5
26,2013-07-14,17.700000000000003,4.0,10.0
27,2013-07-18,21.1,6.0,6.5
28,2013-07-22,20.45,3.3,13.0
29,2013-07-26,21.35,4.0,13.5
30,2013-07-30,17.5,7.7,0.8
31,2013-08-03,19.0,7.3,0.0
32,2013-08-07,18.25,6.7,7.7
33,2013-08-11,16.2,6.3,7.4
34,2013-08-15,15.3,4.3,10.1
35,2013-08-19,14.65,4.0,13.0
36,2013-08-23,16.5,2.0,14.0
37,2013-08-27,15.95,6.0,8.2
38,2013-08-31,15.0,5.7,5.5
39,2013-09-04,16.65,5.0,5.2
40,2013-09-08,17.0,5.3,9.6
41,2013-09-12,14.1,2.7,11.3
42,2013-09-16,11.65,8.0,0.0
43,2013-09-20,9.15,3.3,9.0
44,2013-09-24,9.6,3.3,8.1
45,2013-09-28,8.1,6.3,2.6
46,2013-10-02,6.0,5.0,5.2
47,2013-10-06,8.8,5.3,6.2
48,2013-10-10,8.95,5.3,1.5
49,2013-10-14,8.7,7.7,
50,2013-10-18,3.65,0.3,
51,2013-10-22,3.9,8.0,
52,2013-10-26,8.3,7.0,
53,2013-10-30,6.25,3.3,
54,2013-11-03,5.449999999999999,8.0,
55,2013-11-07,1.55,8.0,
56,2013-11-11,1.35,6.0,
57,2013-11-15,4.35,6.7,
58,2013-11-19,3.6,2.7,
59,2013-11-23,-4.35,8.0,
60,2013-11-27,2.2,4.0,
61,2013-12-01,2.0,1.7,
62,2013-12-05,1.15,7.7,
63,2013-12-09,-3.35,8.0,
64,2013-12-13,1.05,4.7,
65,2013-12-17,3.75,4.7,
66,2013-12-21,3.75,6.0,
67,2013-12-25,5.7,7.3,
68,2013-12-29,4.5,3.3,
69,2014-01-02,2.8,8.0,
70,2014-01-06,2.85,8.0,0.0
71,2014-01-10,0.6,7.0,0.7
72,2014-01-14,-7.9,8.0,0.0
73,2014-01-18,-6.2,8.0,0.0
74,2014-01-22,-7.15,7.0,0.0
75,2014-01-26,-5.6,7.7,0.0
